Date,Price,Open,High,Low,Vol.,Change %
03/26/2021,22,22,22.05,21.95,21.01M,0.00%
03/25/2021,22,22,22.05,22,12.09M,0.00%
03/24/2021,22,22,22.05,21.95,16.67M,0.00%
03/23/2021,22,22.5,22.5,21.95,22.53M,-2.22%
03/22/2021,22.5,22.5,22.6,22.4,25.00M,0.00%
03/19/2021,22.5,22,22.7,22.1,66.10M,2.27%
03/18/2021,22,20.5,22,20.55,32.84M,7.32%
03/17/2021,20.5,20.3,20.6,19.5,28.45M,0.99%
03/16/2021,20.3,21.2,21.15,20.3,15.19M,-4.25%
03/15/2021,21.2,21.35,21.4,21.15,7.67M,-0.70%
03/12/2021,21.35,21.45,21.5,21.3,10.47M,-0.47%
03/11/2021,21.45,21.75,21.75,21.4,11.50M,-1.38%
03/10/2021,21.75,21.75,21.95,21.75,12.13M,0.00%
03/09/2021,21.75,22.2,22.2,21.1,35.77M,-12.65%
03/08/2021,24.9,25.3,25.4,24.7,66.50M,-1.58%
03/05/2021,25.3,25.3,25.4,24.95,46.85M,0.00%
03/04/2021,25.3,25.55,25.65,25.3,38.65M,-0.98%
03/03/2021,25.55,25.65,25.75,25.55,41.38M,-0.39%
03/02/2021,25.65,25.8,25.85,25.5,48.10M,-0.58%
03/01/2021,25.8,25.45,25.85,25.45,20.62M,1.38%
02/26/2021,25.45,25.9,25.9,25.3,26.61M,-1.55%
02/25/2021,25.85,26.3,26.2,25.85,24.57M,-1.71%
02/24/2021,26.3,26.15,26.75,26.1,154.62M,1.15%
02/23/2021,26,24.8,26.05,24.7,52.67M,4.84%
02/22/2021,24.8,24.7,25,24.75,21.75M,0.40%
02/19/2021,24.7,24.1,24.75,24.4,17.58M,2.49%
02/18/2021,24.1,25,25,23.9,37.74M,-3.60%
02/17/2021,25,25,25.3,24.9,13.98M,0.00%
02/16/2021,25,25.15,25.35,25,25.99M,-0.60%
02/15/2021,25.15,25,25.15,25,21.51M,0.60%
02/12/2021,25,24.8,25,24.55,55.60M,0.81%
02/11/2021,24.8,25,24.8,22.8,37.10M,-0.80%
02/10/2021,25,25.8,25.7,25,43.74M,-3.10%
02/09/2021,25.8,26,26.05,25.8,25.08M,-0.77%
02/08/2021,26,26,26.1,25.95,14.17M,0.00%
02/05/2021,26,26.5,26.5,25.65,52.78M,-2.80%
02/04/2021,26.75,26.95,26.9,26.45,29.54M,-0.74%
02/03/2021,26.95,26.3,26.95,26.25,31.50M,2.47%
